accession	definitionLine	organism	product	isolation_source	db_xref	host	clone	isolate	strain	tissue_type	lat_lon	country	note	lab_host
FR839041	"Uncultured Mollicutes bacterium partial 16S rRNA gene, clone tdA57R."	uncultured Mollicutes bacterium	16S ribosomal RNA	RNA gut library from reference shrimp	taxon:220137	Rimicaris exoculata	tdA57R	none	none	none	none	none	gut epibiont of Rimicaris exoculata	none
FR839042	"Uncultured Mollicutes bacterium partial 16S rRNA gene, clone tdA46R."	uncultured Mollicutes bacterium	16S ribosomal RNA	RNA gut library from reference shrimp	taxon:220137	Rimicaris exoculata	tdA46R	none	none	none	none	none	gut epibiont of Rimicaris exoculata	none
FR839046	"Uncultured Mollicutes bacterium partial 16S rRNA gene, clone tdA62R."	uncultured Mollicutes bacterium	16S ribosomal RNA	RNA gut library from reference shrimp	taxon:220137	Rimicaris exoculata	tdA62R	none	none	none	none	none	gut epibiont of Rimicaris exoculata	none
FR839101	"Uncultured Mollicutes bacterium partial 16S rRNA gene, clone tdR168R."	uncultured Mollicutes bacterium	16S ribosomal RNA	RNA gut library from reference shrimp	taxon:220137	Rimicaris exoculata	tdR168R	none	none	none	none	none	gut epibiont of Rimicaris exoculata	none
AM085763	"Sugarcane grassy shoot phytoplasma partial 16S rRNA gene and 16S-23S rRNA IGS, from Saccharum hybrid cultivar."	Sugarcane grassy shoot phytoplasma	16S ribosomal RNA	subtropical region	taxon:345343	"Saccharum hybrid cultivar CoS 95255, leaf"	none	none	none	none	none	India	"16S-23S rRNA intergenic spacer, IGS"	none
KJ200627	"Sugarcane white leaf phytoplasma isolate SPN-UP13 16S ribosomal RNA gene, partial sequence."	Sugarcane white leaf phytoplasma	16S ribosomal RNA	infected leaf	taxon:70613	Saccharum hybrid cultivar CoS 97261	none	SPN-UP13	none	none	none	India	none	none
LT558770	"Candidatus Phytoplasma cynodontis partial 16S rRNA gene, isolate SC_Phy155."	Candidatus Phytoplasma cynodontis	16S ribosomal RNA	Infected Sugarcane Apical Shoot	taxon:72990	Saccharum officinarum	none	SC_Phy155	none	none	none	India	none	none
FM208255	"Sugarcane white leaf phytoplasma partial 16S rRNA gene, isolate SCSA-KH."	Sugarcane white leaf phytoplasma	16S ribosomal RNA	Saccharum officinarum	taxon:70613	Saccharum officinarum	none	SCSA-KH	none	leaf	none	Thailand:Eastern	none	none
FM208256	"Sugarcane white leaf phytoplasma partial 16S rRNA gene, isolate SCUT-NN."	Sugarcane white leaf phytoplasma	16S ribosomal RNA	Saccharum officinarum	taxon:70613	Saccharum officinarum	none	SCUT-NN	none	leaf	none	Thailand:North Eastern	none	none
LT558779	"Candidatus Phytoplasma cynodontis partial 16S rRNA gene, isolate SC-Phy349."	Candidatus Phytoplasma cynodontis	16S ribosomal RNA	Apical Shoot	taxon:72990	Saccharum officinarum	none	SC-Phy349	none	none	none	India	none	none
LT558778	"Candidatus Phytoplasma cynodontis partial 16S rRNA gene, isolate SC-Phy157."	Candidatus Phytoplasma cynodontis	16S ribosomal RNA	Apical Shoot	taxon:72990	Saccharum officinarum	none	SC-Phy157	none	none	none	India	none	none
AM749425	"Sugarcane grassy shoot phytoplasma partial 16S rRNA gene, isolate Co 419-21."	Sugarcane grassy shoot phytoplasma	16S ribosomal RNA	healthy host's leaves	taxon:345343	"Saccharum officinarum, cultivar Co 419"	none	Co 419-21	none	none	none	none	none	none
AM749426	"Sugarcane grassy shoot phytoplasma partial 16S rRNA gene, isolate Co 419-23."	Sugarcane grassy shoot phytoplasma	16S ribosomal RNA	host's leaves with SCGS symptom	taxon:345343	"Saccharum officinarum, cultivar Co 419"	none	Co 419-23	none	none	none	none	none	none
AM749427	"Sugarcane grassy shoot phytoplasma partial 16S rRNA gene, isolate Co 419-24."	Sugarcane grassy shoot phytoplasma	16S ribosomal RNA	host's leaves with SCGS symptom	taxon:345343	"Saccharum officinarum, cultivar Co 419"	none	Co 419-24	none	none	none	none	none	none
AM749428	"Sugarcane grassy shoot phytoplasma partial 16S rRNA gene, isolate Co 419-25."	Sugarcane grassy shoot phytoplasma	16S ribosomal RNA	host's leaves with SCGS symptom	taxon:345343	"Saccharum officinarum, cultivar Co 419"	none	Co 419-25	none	none	none	none	none	none
AM749414	"Sugarcane grassy shoot phytoplasma partial 16S rRNA gene, isolate Co 671-7."	Sugarcane grassy shoot phytoplasma	16S ribosomal RNA	healthy host's leaves	taxon:345343	"Saccharum officinarum, cultivar Co 671"	none	Co 671-7	none	none	none	none	none	none
HM031425	"Uncultured Spiroplasma sp. clone S.o-1 16S ribosomal RNA gene, partial sequence."	uncultured Spiroplasma sp.	16S ribosomal RNA	intestines	taxon:319049	Sciaenops ocellatus	S.o-1	none	none	none	none	none	"PCR_primers=fwd_name: 27F, rev_name: 1492R"	none
LT558767	"Candidatus Phytoplasma aurantifolia partial 16S rRNA gene, isolate SS01."	Candidatus Phytoplasma aurantifolia	16S ribosomal RNA	Symptomatic leaf sample of Sesame	taxon:180978	Sesamum indicum	none	SS01	none	Leaf	none	India:Akola	none	none
KC178679	"Brinjal little leaf phytoplasma isolate B-NDL 16S ribosomal RNA gene, partial sequence."	Brinjal little leaf phytoplasma	16S ribosomal RNA	infected leaf	taxon:85647	Solanum melongena	none	B-NDL	none	none	none	India	none	none
KY815100	"Candidatus Phytoplasma trifolii isolate Orissa 16S ribosomal RNA gene, partial sequence."	Candidatus Phytoplasma trifolii	16S ribosomal RNA	tuber	taxon:35776	Solanum tuberosum	none	Orissa	none	none	none	India	group: 16Sr VI	none
KY815099	"Candidatus Phytoplasma trifolii isolate Orissa 16S ribosomal RNA gene, partial sequence."	Candidatus Phytoplasma trifolii	16S ribosomal RNA	shoot	taxon:35776	Solanum tuberosum	none	Orissa	none	none	none	India	group: 16Sr VI	none
LN907231	"Candidatus Phytoplasma solani partial 16S rRNA gene, isolate EGYPOT5."	Candidatus Phytoplasma solani	16S ribosomal RNA	plant midribs	taxon:69896	Solanum tuberosum	none	EGYPOT5	none	none	none	Egypt:kafrelsheikh	none	none
LT558788	"'Stevia rebaudiana' phytoplasma partial 16S rRNA gene, isolate S1."	'Stevia rebaudiana' phytoplasma	16S ribosomal RNA	Leaves	taxon:1048330	Stevia rebaudiana	none	S1	none	none	none	none	none	none
HG425180	"'Stevia rebaudiana' phytoplasma partial 16S rRNA gene, isolate Stv.01."	'Stevia rebaudiana' phytoplasma	16S ribosomal RNA	host leaves	taxon:1048330	Stevia rebaudiana	none	Stv.01	none	none	none	India:Palampur	none	none
FM165077	"Mycoplasma sp. 237IAT partial 16S rRNA gene, strain type strain 237IAT."	Mycoplasma sp. 237IA	16S ribosomal RNA	host lung	taxon:538220	Struthio camelus	none	none	type strain:237IA	none	none	Namibia	none	none
FM165076	"Mycoplasma sp. 2F1AT partial 16S rRNA gene, type strain 2F1AT."	Mycoplasma sp. 2F1A	16S ribosomal RNA	host nasal cavity	taxon:538219	Struthio camelus	none	none	type strain:2F1A	none	none	Namibia	none	none
AM403156	"Sugarcane grassy shoot phytoplasma partial 16S rRNA gene, isolate VP010."	Sugarcane grassy shoot phytoplasma	16S ribosomal RNA	host meristematic tissue	taxon:345343	sugar cane	none	VP010	none	none	none	India	none	none
MF977369	"Mycoplasma hyopneumoniae strain PV1720 16S ribosomal RNA gene, partial sequence."	Mycoplasma hyopneumoniae	16S ribosomal RNA	lung	taxon:2099	swine	none	none	PV1720	none	none	Viet Nam	none	none
MF977372	"Mycoplasma hyopneumoniae strain M183 16S ribosomal RNA gene, partial sequence."	Mycoplasma hyopneumoniae	16S ribosomal RNA	lung	taxon:2099	swine	none	none	M183	none	none	Viet Nam	none	none
MF977373	"Mycoplasma hyopneumoniae strain M100 16S ribosomal RNA gene, partial sequence."	Mycoplasma hyopneumoniae	16S ribosomal RNA	lung	taxon:2099	swine	none	none	M100	none	none	Viet Nam	none	none
MF977374	"Mycoplasma hyopneumoniae strain NT5F 16S ribosomal RNA gene, partial sequence."	Mycoplasma hyopneumoniae	16S ribosomal RNA	lung	taxon:2099	swine	none	none	NT5F	none	none	Viet Nam	none	none
MF977375	"Mycoplasma hyopneumoniae strain M157 16S ribosomal RNA gene, partial sequence."	Mycoplasma hyopneumoniae	16S ribosomal RNA	lung	taxon:2099	swine	none	none	M157	none	none	Viet Nam	none	none
LT622841	"Marigold phyllody phytoplasma partial 16S rRNA gene, isolate TT01."	Marigold phyllody phytoplasma	16S ribosomal RNA	Leaf	taxon:225328	Tagetes minuta	none	TT01	none	none	none	India:Uttar Pradesh	none	none
LN878981	"Candidatus Phytoplasma aurantifolia partial 16S rRNA gene, isolate TP02."	Candidatus Phytoplasma aurantifolia	16S ribosomal RNA	host leaves	taxon:180978	Tephrosia purpurea	none	TP02	none	none	none	"India:Pune, Sus"	none	none
HG792252	"Candidatus Phytoplasma aurantifolia partial 16S rRNA gene, isolate TP01."	Candidatus Phytoplasma aurantifolia	16S ribosomal RNA	host leaves	taxon:180978	Tephrosia purpurea	none	TP01	none	none	none	India:Naldurga	none	none
FM897203	"Uncultured Mycoplasma sp. partial 16S rRNA gene, clone F66-04."	uncultured Mycoplasma sp.	16S ribosomal RNA	gut microflora	taxon:167967	Thymallus arcticus baikalensis	F66-04	none	none	none	none	Russia:Aquarium of Baikalian Museum	none	none
FM897201	"Uncultured Mycoplasma sp. partial 16S rRNA gene, clone F48-06."	uncultured Mycoplasma sp.	16S ribosomal RNA	gut microflora	taxon:167967	Thymallus arcticus baikalensis	F48-06	none	none	none	none	Russia:Angara River	none	none
FM897202	"Uncultured Mycoplasma sp. partial 16S rRNA gene, clone F62-07."	uncultured Mycoplasma sp.	16S ribosomal RNA	gut microflora	taxon:167967	Thymallus arcticus baikalensis	F62-07	none	none	none	none	Russia:Irkutsk water reservoir	none	none
LT558789	"Candidatus Phytoplasma aurantifolia partial 16S rRNA gene, isolate TC01."	Candidatus Phytoplasma aurantifolia	16S ribosomal RNA	Leaves	taxon:180978	Trichodesma zeylanicum	none	TC01	none	none	none	none	none	none
LT594116	"'Triticum aestivum' yellow stunting phytoplasma partial 16S rRNA gene, isolate WH04."	'Triticum aestivum' yellow stunting phytoplasma	16S ribosomal RNA	leaf	taxon:1862600	Triticum aestivum (Bread wheat) var. HW2004	none	WH04	none	Leaf	22.7 N 75.9 E	India	none	none
LT594113	"'Triticum turgidum var. durum' yellow stunting phytoplasma partial 16S rRNA gene, isolate WH01."	'Triticum turgidum var. durum' yellow stunting phytoplasma	16S ribosomal RNA	leaf	taxon:1862599	Triticum turgidum var. durum (Durum wheat) HI 8638	none	WH01	none	Leaf	22.7 N 75.9 E	India	none	none
LT594115	"'Triticum turgidum var. durum' yellow stunting phytoplasma partial 16S rRNA gene, isolate WH03."	'Triticum turgidum var. durum' yellow stunting phytoplasma	16S ribosomal RNA	leaf	taxon:1862599	Triticum turgidum var. durum (Durum wheat) MACS 3063	none	WH03	none	Leaf	22.7 N 75.9 E	India	none	none
LT594114	"'Triticum turgidum var. durum' yellow stunting phytoplasma partial 16S rRNA gene, isolate WH02."	'Triticum turgidum var. durum' yellow stunting phytoplasma	16S ribosomal RNA	leaf	taxon:1862599	Triticum turgidum var. durum (Durum wheat) PDW245	none	WH02	none	Leaf	22.7 N 75.9 E	India	none	none
KF773149	"'Tylophora indica' little leaf yellowing phytoplasma isolate Gurgaon-1 16S ribosomal RNA gene, partial sequence."	'Tylophora indica' little leaf yellowing phytoplasma	16S ribosomal RNA	infected leaf midrib and stem	taxon:1414723	Tylophora indica	none	Gurgaon-1	none	none	none	"India: Manesar, Gurgaon"	none	none
AB725596	"Mycoplasma sp. Bear genes for 16S rRNA, 16S-23S rRNA intergenic spacer, complete and partial sequence."	Mycoplasma sp. Bear	16S ribosomal RNA	blood of black bear	taxon:1198041	Ursus thibetanus	none	none	Bear	none	none	Japan: Iwate	16S-23S rRNA intergenic spacer	none
FM165074	"Mycoplasma sp. C3T partial 16S rRNA gene, type strain C3T."	Mycoplasma sp. C3	16S ribosomal RNA	host salivary gland	taxon:538217	Vespertilionidae sp.	none	none	type strain:C3	none	none	Honduras	none	none
LT558768	"Candidatus Phytoplasma aurantifolia partial 16S rRNA gene, isolate CW01."	Candidatus Phytoplasma aurantifolia	16S ribosomal RNA	Symptomatic leaf sample of Cow Pea	taxon:180978	Vigna unguiculata	none	CW01	none	Leaf	none	India:Akola	none	none
FJ805241	"Candidatus Phytoplasma vitis clone 10 16S ribosomal RNA gene, partial sequence."	Candidatus Phytoplasma vitis	16S ribosomal RNA	vineyard of Lombardy region	taxon:131152	Vitis vinifera L. (grapevine)	10	none	none	none	none	Italy	none	none
FJ805240	"Candidatus Phytoplasma vitis clone 8 16S ribosomal RNA gene, partial sequence."	Candidatus Phytoplasma vitis	16S ribosomal RNA	vineyard of Lombardy region	taxon:131152	Vitis vinifera L. (grapevine)	8	none	none	none	none	Italy	none	none
FN436010	"Mycoplasma suis partial 16S rRNA gene, isolate wild boar 169."	Mycoplasma suis	16S ribosomal RNA	host blood	taxon:57372	"wild boar, Sus scrofa"	none	wild boar 169	none	none	none	Germany	none	none
FN436016	"Mycoplasma suis partial 16S rRNA gene, isolate wild boar 37."	Mycoplasma suis	16S ribosomal RNA	host blood	taxon:57372	"wild boar, Sus scrofa"	none	wild boar 37	none	none	none	Germany	none	none
HG937644	"Candidatus Phytoplasma balanitae partial 16S rRNA gene, isolate ZZ01."	Candidatus Phytoplasma balanitae	16S ribosomal RNA	leaves	taxon:1130089	Ziziphus oenoplia	none	ZZ01	none	none	17.81 N 76.25 E	India:Naldurga	none	none
LT558786	"Candidatus Phytoplasma balanitae partial 16S rRNA gene, isolate ZZ03."	Candidatus Phytoplasma balanitae	16S ribosomal RNA	Leaves	taxon:1130089	Ziziphus oniplea	none	ZZ03	none	none	none	none	none	none
LT558785	"Candidatus Phytoplasma balanitae partial 16S rRNA gene, isolate ZZ02."	Candidatus Phytoplasma balanitae	16S ribosomal RNA	Leaves	taxon:1130089	Ziziphus oniplea	none	ZZ02	none	none	none	none	none	none
